"日付","休日区分","シフト開始","シフト終了","出勤時刻","退勤時刻","労働時間","シフト外労働時間","残業時間","深夜時間","休憩時間","勤怠状況","エラー"
2025/4/1,"","10:00","18:00","09:27","18:52","08:25","01:25","00:25","","01:00","",""
2025/4/2,"","10:00","18:00","09:33","19:18","08:45","01:45","00:45","","01:00","",""
2025/4/3,"","10:00","18:00","09:29","18:41","08:12","01:12","00:12","","01:00","",""
2025/4/4,"","10:00","18:00","09:35","18:55","08:20","01:20","00:20","","01:00","",""
2025/4/5,"公休","","","","","","","","","","",""
2025/4/6,"公休","","","","","","","","","","",""
2025/4/7,"","10:00","18:00","09:28","18:48","08:20","01:20","00:20","","01:00","",""
2025/4/8,"","10:00","18:00","09:32","19:25","08:53","01:53","00:53","","01:00","",""
2025/4/9,"","10:00","18:00","09:26","18:42","08:16","01:16","00:16","","01:00","",""
2025/4/10,"","10:00","18:00","09:34","18:58","08:24","01:24","00:24","","01:00","",""
2025/4/11,"","10:00","18:00","09:27","18:35","08:08","01:08","00:08","","01:00","",""
2025/4/12,"公休","","","","","","","","","","",""
2025/4/13,"公休","","","","","","","","","","",""
2025/4/14,"","10:00","18:00","09:31","18:51","08:20","01:20","00:20","","01:00","",""
2025/4/15,"","10:00","18:00","09:29","19:12","08:43","01:43","00:43","","01:00","",""
2025/4/16,"","10:00","18:00","09:33","18:44","08:11","01:11","00:11","","01:00","",""
2025/4/17,"","10:00","18:00","09:28","18:55","08:27","01:27","00:27","","01:00","",""
2025/4/18,"","10:00","18:00","09:35","18:38","08:03","01:03","00:03","","01:00","",""
2025/4/19,"公休","","","","","","","","","","",""
2025/4/20,"公休","","","","","","","","","","",""
2025/4/21,"","10:00","18:00","09:27","18:49","08:22","01:22","00:22","","01:00","",""
2025/4/22,"","10:00","18:00","09:32","19:08","08:36","01:36","00:36","","01:00","",""
2025/4/23,"","10:00","18:00","09:29","18:42","08:13","01:13","00:13","","01:00","",""
2025/4/24,"","10:00","18:00","09:34","18:52","08:18","01:18","00:18","","01:00","",""
2025/4/25,"","10:00","18:00","09:26","18:37","08:11","01:11","00:11","","01:00","",""
2025/4/26,"公休","","","","","","","","","","",""
2025/4/27,"公休","","","","","","","","","","",""
2025/4/28,"","10:00","18:00","09:31","18:48","08:17","01:17","00:17","","01:00","",""
2025/4/29,"祝日","","","","","","","","","","",""
2025/4/30,"","10:00","18:00","09:28","18:55","08:27","01:27","00:27","","01:00","",""
