日付,休日区分,シフト開始,シフト終了,出勤時刻,退勤時刻,労働時間,シフト外労働時間,残業時間,深夜時間,休憩時間,勤怠状況,エラー
2026/01/01,公休,,,,,,,,,,,
2026/01/02,公休,,,,,,,,,,,
2026/01/03,公休,,,,,,,,,,,
2026/01/04,,09:00,18:00,09:05,18:30,8:25,0:00,0:25,0:00,1:00,出勤,
2026/01/05,,09:00,18:00,08:55,19:15,9:20,0:00,1:20,0:00,1:00,出勤,
2026/01/06,,09:00,18:00,09:02,18:45,8:43,0:00,0:43,0:00,1:00,出勤,
2026/01/07,,09:00,18:00,09:00,18:00,8:00,0:00,0:00,0:00,1:00,出勤,
2026/01/08,,09:00,18:00,09:10,20:30,10:20,0:00,2:20,0:00,1:00,出勤,
2026/01/09,,09:00,18:00,08:50,18:20,8:30,0:00,0:30,0:00,1:00,出勤,
2026/01/10,,09:00,18:00,09:00,18:10,8:10,0:00,0:10,0:00,1:00,出勤,
2026/01/11,公休,,,,,,,,,,,
2026/01/12,公休,,,,,,,,,,,
2026/01/13,祝日,,,,,,,,,,,
2026/01/14,,09:00,18:00,09:00,19:00,9:00,0:00,1:00,0:00,1:00,出勤,
2026/01/15,,09:00,18:00,09:05,18:30,8:25,0:00,0:25,0:00,1:00,出勤,
2026/01/16,,09:00,18:00,08:58,21:00,11:02,0:00,3:02,0:00,1:00,出勤,
2026/01/17,,09:00,18:00,09:00,18:00,8:00,0:00,0:00,0:00,1:00,出勤,
2026/01/18,公休,,,,,,,,,,,
2026/01/19,公休,,,,,,,,,,,
2026/01/20,,09:00,18:00,09:15,18:45,8:30,0:00,0:30,0:00,1:00,出勤,
2026/01/21,,09:00,18:00,09:00,19:30,9:30,0:00,1:30,0:00,1:00,出勤,
2026/01/22,,09:00,18:00,09:05,18:15,8:10,0:00,0:10,0:00,1:00,出勤,
2026/01/23,,09:00,18:00,09:00,20:00,10:00,0:00,2:00,0:00,1:00,出勤,
2026/01/24,,09:00,18:00,08:55,18:30,8:35,0:00,0:35,0:00,1:00,出勤,
2026/01/25,公休,,,,,,,,,,,
2026/01/26,公休,,,,,,,,,,,
2026/01/27,,09:00,18:00,09:00,18:20,8:20,0:00,0:20,0:00,1:00,出勤,
2026/01/28,,09:00,18:00,09:10,19:45,9:35,0:00,1:35,0:00,1:00,出勤,
2026/01/29,,09:00,18:00,09:00,18:00,8:00,0:00,0:00,0:00,1:00,出勤,
2026/01/30,,09:00,18:00,09:05,18:50,8:45,0:00,0:45,0:00,1:00,出勤,
2026/01/31,,09:00,18:00,08:50,19:00,9:10,0:00,1:10,0:00,1:00,出勤,
